id1,foodproduct1,id2,foodproduct2,similarity
5475,""" Slice English Fruit Cake""",595,""" KONSERVEN Ayam Bumbu Bali""",0.694542646408081
1121,"""Bakpia Ulir Rasa Keju""",4010,"""Basic Ramen""",0.6943333745002747
4010,"""Basic Ramen""",1121,"""Bakpia Ulir Rasa Keju""",0.6943333745002747
1352,""" Gelato Snickers""",3715,"""Pempek Lenjer Isi Sosis \""Tjek Entis\""""",0.6942734718322754
3715,"""Pempek Lenjer Isi Sosis \""Tjek Entis\""""",1352,""" Gelato Snickers""",0.6942734718322754
1894,"""Campina - Strawberry (Es Krim Rasa Vanila) - Kemasan 5L, 8L""",1677,"""Kue Lumpur Merk Bu Hartatik""",0.6941706538200378
1677,"""Kue Lumpur Merk Bu Hartatik""",1894,"""Campina - Strawberry (Es Krim Rasa Vanila) - Kemasan 5L, 8L""",0.6941706538200378
3209,"""Ao Aonori DNfood""",2407,"""Es Jeruk Peras """,0.693655788898468
2407,"""Es Jeruk Peras """,3209,"""Ao Aonori DNfood""",0.693655788898468
22,""" Long Burger Merah""",8176,"""Roti Cokelat Keju Kacang (Valore)""",0.6936264634132385
8176,"""Roti Cokelat Keju Kacang (Valore)""",22,""" Long Burger Merah""",0.6936264634132385
5826,"""Jus mangga""",2259,"""Roti Coklat Cream""",0.693488597869873
2259,"""Roti Coklat Cream""",5826,"""Jus mangga""",0.693488597869873
3211,"""DONAT""",2417,"""Milo Hangat """,0.6933783292770386
2417,"""Milo Hangat """,3211,"""DONAT""",0.6933783292770386
3492,""" Epic Choco Chocolate “Mangrove”""",2179,"""SAMBAL IJO""",0.6930023431777954
2179,"""SAMBAL IJO""",3492,""" Epic Choco Chocolate “Mangrove”""",0.6930023431777954
734,"""Roti manis""",1845,"""Siomay ikan""",0.6926841139793396
1845,"""Siomay ikan""",734,"""Roti manis""",0.6926841139793396
4087,""" ICE GO Serut                                                                                                      """,1842,"""Serundeng ikan asap kerang""",0.6925475001335144
1842,"""Serundeng ikan asap kerang""",4087,""" ICE GO Serut                                                                                                      """,0.6925475001335144
86,""" SACC 4                                                                                              """,886,"""Spiku 2 Lapis Mocca Nougat Surabaya Anita Cake """,0.6923208832740784
886,"""Spiku 2 Lapis Mocca Nougat Surabaya Anita Cake """,86,""" SACC 4                                                                                              """,0.6923208832740784
6194,""" Keripik Brownies (Crispy Brownies) \""Bronchips\"" Varian Chocochips""",346,""" Sosis Frankfurter Bang Troy""",0.6919919848442078
346,""" Sosis Frankfurter Bang Troy""",6194,""" Keripik Brownies (Crispy Brownies) \""Bronchips\"" Varian Chocochips""",0.6919919848442078
6044,"""Beras Kencur""",4731,"""TOP Wafer Krim Rasa Vanilla """,0.6919010281562805
4731,"""TOP Wafer Krim Rasa Vanilla """,6044,"""Beras Kencur""",0.6919010281562805
5343,""" Bronis Keju""",8513,"""Nastar Keju Cookies \""Yurizka Kitchen\""""",0.6917670369148254
8513,"""Nastar Keju Cookies \""Yurizka Kitchen\""""",5343,""" Bronis Keju""",0.6917670369148254
4706,""" Monde Biskuit Lapis Krim Susu (Bourbon Milky) """,4757,""" OJO Green Tea Biscuit """,0.6913271546363831
4757,""" OJO Green Tea Biscuit """,4706,""" Monde Biskuit Lapis Krim Susu (Bourbon Milky) """,0.6913271546363831
615,""" KONSERVEN Opor Ayam""",1394,""" Salmon Teriyaki""",0.6911799907684326
1394,""" Salmon Teriyaki""",615,""" KONSERVEN Opor Ayam""",0.6911799907684326
4442,"""Ayam Saus Inggris""",4193,"""Stick Mente""",0.6911256313323975
4193,"""Stick Mente""",4442,"""Ayam Saus Inggris""",0.6911256313323975
6958,"""BROWNIES KIMPOEL SEHAT""",8366,"""Vegetex CFI-YZ01""",0.6906579732894897
8366,"""Vegetex CFI-YZ01""",6958,"""BROWNIES KIMPOEL SEHAT""",0.6906579732894897
1132,"""Burger""",6496,"""Keripik Brownis Original Omaetee""",0.6904699206352234
6496,"""Keripik Brownis Original Omaetee""",1132,"""Burger""",0.6904699206352234
6080,"""KUNYIT ASEM""",5264,"""Lespezie Oregano Flakes""",0.6900738477706909
5264,"""Lespezie Oregano Flakes""",6080,"""KUNYIT ASEM""",0.6900738477706909
627,""" KONSERVEN Sop Daging Sapi""",7744,"""GOLDEN FOOD""",0.6900674104690552
7744,"""GOLDEN FOOD""",627,""" KONSERVEN Sop Daging Sapi""",0.6900674104690552
4822,""" Jacobis-Family Biskuit Cokelat Lapis Krim Cokelat (Rose Chocolate) """,6997,"""Roti Tree Angel Cheese Bread Toez""",0.6900568008422852
6997,"""Roti Tree Angel Cheese Bread Toez""",4822,""" Jacobis-Family Biskuit Cokelat Lapis Krim Cokelat (Rose Chocolate) """,0.6900568008422852
5446,""" Roti Kelapa""",4667,"""Yoichi Kacang Bawang """,0.6900049448013306
4667,"""Yoichi Kacang Bawang """,5446,""" Roti Kelapa""",0.6900049448013306
1897,"""Hula Hula Kopyor (Es Krim Kopyor Rasa Frambosen)""",5882,"""Kue Kering Kastengel Gracella""",0.6899491548538208
5882,"""Kue Kering Kastengel Gracella""",1897,"""Hula Hula Kopyor (Es Krim Kopyor Rasa Frambosen)""",0.6899491548538208
1249,"""Kulit Ikan Rasa Original Bogajaya """,8173,"""Roti Blueberry Susu (Valore)""",0.6897444128990173
8173,"""Roti Blueberry Susu (Valore)""",1249,"""Kulit Ikan Rasa Original Bogajaya """,0.6897444128990173
3409,"""EMR GARLIC POWDER B""",2485,"""Ikan Gurame Bakar Pedas """,0.6897425055503845
2485,"""Ikan Gurame Bakar Pedas """,3409,"""EMR GARLIC POWDER B""",0.6897425055503845
8062,"""Potato Chips""",6524,"""Serbuk Instan Ekstrak Temulawak (Untuk Liver) “Lapaknya Bunda 3R”""",0.6895891427993774
6524,"""Serbuk Instan Ekstrak Temulawak (Untuk Liver) “Lapaknya Bunda 3R”""",8062,"""Potato Chips""",0.6895891427993774
7074,""" Sambel Bu Rini - Sambel Bawang""",8114,"""Pineapple Red Dragon""",0.6893996596336365
8114,"""Pineapple Red Dragon""",7074,""" Sambel Bu Rini - Sambel Bawang""",0.6893996596336365
8025,"""Sparkling Coffee - Mocha Caramel""",8072,"""Wagyu Tomahawk Mbs 6+""",0.6891888380050659
8072,"""Wagyu Tomahawk Mbs 6+""",8025,"""Sparkling Coffee - Mocha Caramel""",0.6891888380050659
1127,""" Bakpia Ulir Rasa Kopi""",8275,"""Danish Palm Sugar Coconut (Valore)""",0.6890112161636353
8275,"""Danish Palm Sugar Coconut (Valore)""",1127,""" Bakpia Ulir Rasa Kopi""",0.6890112161636353
2370,"""Cookies Kingdom Kue Kering Sagu Keju""",2994,"""DELINA Mini Pao Isi Keju""",0.6889410614967346
2994,"""DELINA Mini Pao Isi Keju""",2370,"""Cookies Kingdom Kue Kering Sagu Keju""",0.6889410614967346
3178,""" Keripik Teripang \""Cakzin\""""",3119,"""Bubur Seafood """,0.6889336109161377
3119,"""Bubur Seafood """,3178,""" Keripik Teripang \""Cakzin\""""",0.6889336109161377
1542,"""Butter Cookies Cetak""",3334,"""NASTAR""",0.6889024972915649
3334,"""NASTAR""",1542,"""Butter Cookies Cetak""",0.6889024972915649
1466,"""Berlian Jagung Pedas""",6722,"""Nastar""",0.6887958645820618
6722,"""Nastar""",1466,"""Berlian Jagung Pedas""",0.6887958645820618
2083,""" Sponge Cake""",3904,"""Kacang Telur \""Golden Nutts Cokro\""""",0.6885840892791748
3904,"""Kacang Telur \""Golden Nutts Cokro\""""",2083,""" Sponge Cake""",0.6885840892791748
5374,""" Cookies Kastengel""",4876,"""Pastel Ebi""",0.688199520111084
4876,"""Pastel Ebi""",5374,""" Cookies Kastengel""",0.688199520111084
4410,"""Kerupuk Kerang""",7803,"""Tortilla Crispy TAMMA TORTILLA""",0.6879866719245911
7803,"""Tortilla Crispy TAMMA TORTILLA""",4410,"""Kerupuk Kerang""",0.6879866719245911
5440,""" Roti Coklat Keju""",7718,"""MARMER KETAN HITAM""",0.6879754066467285
7718,"""MARMER KETAN HITAM""",5440,""" Roti Coklat Keju""",0.6879754066467285
3640,""" Sosis Ikan Ulir Isi Daging Sapi (Pop-Pop) \""FristGradeGo\""""",6001,"""Kue Eclair""",0.6878280639648438
6001,"""Kue Eclair""",3640,""" Sosis Ikan Ulir Isi Daging Sapi (Pop-Pop) \""FristGradeGo\""""",0.6878280639648438
2642,"""Kastangel""",6861,"""MONT CARTENZ BANANA""",0.6876367330551147
6861,"""MONT CARTENZ BANANA""",2642,"""Kastangel""",0.6876367330551147
1595,"""Kerupuk Variasi Ikan""",884,"""Spiku 2 Lapis Jadul Choco Surabaya Anita Cake """,0.6875725984573364
884,"""Spiku 2 Lapis Jadul Choco Surabaya Anita Cake """,1595,"""Kerupuk Variasi Ikan""",0.6875725984573364
4058,"""Kacang Goreng Madura""",7107,"""Teh Daun Kelor""",0.6875452399253845
7107,"""Teh Daun Kelor""",4058,"""Kacang Goreng Madura""",0.6875452399253845
7187,""" Ice Cup Vanilla “Sendok Kayu”""",6216,"""Cappuccino With Sugar KOFFIKU""",0.687410295009613
6216,"""Cappuccino With Sugar KOFFIKU""",7187,""" Ice Cup Vanilla “Sendok Kayu”""",0.687410295009613
2749,"""Delapis""",4731,"""TOP Wafer Krim Rasa Vanilla """,0.6870643496513367
4731,"""TOP Wafer Krim Rasa Vanilla """,2749,"""Delapis""",0.6870643496513367
8128,"""Iced Peach Tea""",744,"""JOYICE ES KRIM CONE RASA COKELAT DENGAN SAUS COKELAT (CHOCOLATE CONE)""",0.6865828633308411
744,"""JOYICE ES KRIM CONE RASA COKELAT DENGAN SAUS COKELAT (CHOCOLATE CONE)""",8128,"""Iced Peach Tea""",0.6865828633308411
8434,""" VCO""",1816,"""Supreme Mushroom Beef Burger""",0.6865248680114746
1816,"""Supreme Mushroom Beef Burger""",8434,""" VCO""",0.6865248680114746
1162,"""Fillet Nila""",5934,"""Temulawak""",0.686507523059845
5934,"""Temulawak""",1162,"""Fillet Nila""",0.686507523059845
2602,"""Buah Jambu Air""",422,"""Roll Cake Strawberry""",0.6863952279090881
422,"""Roll Cake Strawberry""",2602,"""Buah Jambu Air""",0.6863952279090881
3389,""" Kue Ikan Kukus Bentuk Star Smile (Star Smile Fish Cake) \""Spylee\""""",2657,"""Kripik Kentang Balado """,0.6863018274307251
2657,"""Kripik Kentang Balado """,3389,""" Kue Ikan Kukus Bentuk Star Smile (Star Smile Fish Cake) \""Spylee\""""",0.6863018274307251
2121,"""Bumbu Pecel Sangrai""",2413,"""Jus Sirsak """,0.6862648129463196
2413,"""Jus Sirsak """,2121,"""Bumbu Pecel Sangrai""",0.6862648129463196
6598,""" Kerupuk Kerang \""Pamurbaya\""""",6125,"""Jus Jambu Merah Mbak Ria""",0.6861441731452942
6125,"""Jus Jambu Merah Mbak Ria""",6598,""" Kerupuk Kerang \""Pamurbaya\""""",0.6861441731452942
4493,"""Buah Potong Semangka""",274,"""DBK G S - Sagu""",0.6861306428909302
7143,"""Asam Bubuk""",7835,"""Minyak Goreng Sawit \""Mamayo\""""",0.6861208081245422
7835,"""Minyak Goreng Sawit \""Mamayo\""""",7143,"""Asam Bubuk""",0.6861208081245422
348,""" Sosis Sapi Bang Troy""",6725,"""Cilok                                                                                                                                      """,0.6860800981521606
6725,"""Cilok                                                                                                                                      """,348,""" Sosis Sapi Bang Troy""",0.6860800981521606
7890,"""Es Puter Ultimo Rasa Kacang Hijau""",4541,"""Puding Jelly Susu""",0.6858342289924622
4541,"""Puding Jelly Susu""",7890,"""Es Puter Ultimo Rasa Kacang Hijau""",0.6858342289924622
1089,""" Castengel “B & G Brownies”""",1834,"""Klepon""",0.6857033967971802
1834,"""Klepon""",1089,""" Castengel “B & G Brownies”""",0.6857033967971802
984,"""Brownies Kukus""",951,"""Bumbu Soto Banjar""",0.6855411529541016
951,"""Bumbu Soto Banjar""",984,"""Brownies Kukus""",0.6855411529541016
6424,"""Banana roll dan cheese roll""",7733,"""Dyanas""",0.6854534149169922
7733,"""Dyanas""",6424,"""Banana roll dan cheese roll""",0.6854534149169922
1578,"""Kerupuk Enake Ikan""",6310,"""Ngastina Nasi Gurih""",0.6854286193847656
6310,"""Ngastina Nasi Gurih""",1578,"""Kerupuk Enake Ikan""",0.6854286193847656
1689,"""I-Meal Gulai Tuna                                                                                                """,6532,"""Serbuk Instan Ekstrak Wedang Rimpang “Lapaknya Bunda 3R” """,0.6853472590446472
6532,"""Serbuk Instan Ekstrak Wedang Rimpang “Lapaknya Bunda 3R” """,1689,"""I-Meal Gulai Tuna                                                                                                """,0.6853472590446472
1430,""" Yakimeshi Ebi""",5984,"""Kopi Arabika""",0.6853203773498535
5984,"""Kopi Arabika""",1430,""" Yakimeshi Ebi""",0.6853203773498535
4883,"""SAMBAL LAUK KLOTOK""",5172,"""TEH DAUN KELOR""",0.6847926378250122
5172,"""TEH DAUN KELOR""",4883,"""SAMBAL LAUK KLOTOK""",0.6847926378250122
8504,"""Coconut Fatty Acid Distilated (CFAD)""",7379,"""Spikoe Resep Kuno Keik Lapis Kismis""",0.6845846176147461
7379,"""Spikoe Resep Kuno Keik Lapis Kismis""",8504,"""Coconut Fatty Acid Distilated (CFAD)""",0.6845846176147461
4994,"""OCAO""",8535,"""Susu Sapi Segar Red Velvet “DARFEN”""",0.6844683289527893
8535,"""Susu Sapi Segar Red Velvet “DARFEN”""",4994,"""OCAO""",0.6844683289527893
3674,"""Siomay Tahu “Mang Tofan”""",7264,"""Susu Kurma""",0.6842408776283264
7264,"""Susu Kurma""",3674,"""Siomay Tahu “Mang Tofan”""",0.6842408776283264
3539,"""Faminasa Mini Stick Rasa Vanila""",5785,"""Jamu Kemanten""",0.6842367649078369
5785,"""Jamu Kemanten""",3539,"""Faminasa Mini Stick Rasa Vanila""",0.6842367649078369
6631,"""Minuman Serbuk Almon dengan Rasa Red Velvet""",7920,"""Minyak Goreng Kelapa Sawit Merek Dunia""",0.6842314600944519
7920,"""Minyak Goreng Kelapa Sawit Merek Dunia""",6631,"""Minuman Serbuk Almon dengan Rasa Red Velvet""",0.6842314600944519
34,""" Pizza Malta Merah""",8375,"""Mie Telur Venus""",0.6841855049133301
8375,"""Mie Telur Venus""",34,""" Pizza Malta Merah""",0.6841855049133301
6875,"""MONT CARTENZ MANGOSTEEN""",1997,"""Minyak Adas Cap Gajah""",0.6841686964035034
1997,"""Minyak Adas Cap Gajah""",6875,"""MONT CARTENZ MANGOSTEEN""",0.6841686964035034
5516,"""LUNPIA REBUNG TELUR – LOE RASA""",7261,"""Sinom \""Rosme\""""",0.6841570138931274
7261,"""Sinom \""Rosme\""""",5516,"""LUNPIA REBUNG TELUR – LOE RASA""",0.6841570138931274
2962,"""Nasi Goreng Jawa""",1279,"""Nut Butter Cookies Bellin Bakery""",0.6841011643409729
1279,"""Nut Butter Cookies Bellin Bakery""",2962,"""Nasi Goreng Jawa""",0.6841011643409729
198,"""Makanan Tambahan untuk Ibu Hamil Kurang Energi Kronis - Biskuit Sandwich dengan Krim Rasa Lemon""",4005,"""Wagyu Beef Yakimeshi""",0.6839762330055237
4005,"""Wagyu Beef Yakimeshi""",198,"""Makanan Tambahan untuk Ibu Hamil Kurang Energi Kronis - Biskuit Sandwich dengan Krim Rasa Lemon""",0.6839762330055237
4380,"""Kribab (Kripik Kebab) Rasa Keju Pedas Daun Jeruk Merek Snack_Ku""",8491,"""Minyak Goreng Cap Sevilla""",0.6836933493614197
